"alpha","MolMR","LabuteASA","NumValenceElectrons","HeavyAtomCount","TPSA"
64.32,29.0154,49.683228,48.0,9.0,75.1
54.44,23.676,41.346268,38.0,7.0,38.92
77.78,31.562,54.063824,46.0,9.0,26.8
83.38,36.245,56.39573,52.0,9.0,9.23
76.21,33.4645,53.46166,50.0,9.0,53.31
70.39,30.071,53.892937,52.0,9.0,27.69
59.74,24.875,42.660015,38.0,7.0,9.23
75.22,31.125,54.1385,50.0,9.0,18.46
75.33,31.8448,53.872997,50.0,9.0,37.3
86.91,37.3328,56.47714,54.0,9.0,23.24
83.98,36.268,56.20397,54.0,9.0,26.3
59.11,25.0698,42.38506,36.0,7.0,44.02
66.52,28.8905,51.86033,50.0,9.0,66.4
84.57,36.8857,55.831272,48.0,9.0,21.94
73.37,31.9593,53.690628,52.0,9.0,62.4
83.9,36.311,55.84443,52.0,9.0,20.08
79.7,32.888,54.437874,48.0,9.0,17.07
80.97,34.835,55.394955,48.0,9.0,9.23
76.57,31.991,53.832767,48.0,9.0,20.08
85.78,37.4197,55.727024,50.0,9.0,33.08
79.22,33.0904,54.005302,48.0,9.0,43.88
79.05,34.272,55.19814,52.0,9.0,26.3
66.67,27.742,51.78738,48.0,9.0,51.45
74.18,33.3127,53.421425,48.0,9.0,36.32
71.77,31.4507,53.105198,48.0,9.0,36.32
66.85,29.0927,48.10563,46.0,8.0,42.31
74.06,32.4977,53.06275,48.0,9.0,37.91
72.51,31.4508,53.63249,50.0,9.0,46.53
77.09,32.9085,53.565903,48.0,9.0,32.26
73.22,29.0207,51.296497,48.0,9.0,41.67
88.92,38.499,57.40156,54.0,9.0,9.23
74.75,31.676,50.03079,46.0,8.0,12.53
76.62,32.998,54.044605,50.0,9.0,38.92
62.6,28.5127,47.52027,42.0,8.0,31.17
77.95,33.0638,54.135418,50.0,9.0,29.46
73.31,30.7037,53.608288,48.0,9.0,54.96
82.93,35.3597,55.58065,52.0,9.0,31.17
81.06,34.039,55.389896,50.0,9.0,12.53
77.84,33.0178,54.82502,52.0,9.0,29.46
80.28,34.753,51.090427,48.0,8.0,17.07
89.29,38.477,57.40156,54.0,9.0,9.23
69.03,28.9608,48.744946,44.0,8.0,44.02
77.4,33.0878,54.82502,52.0,9.0,29.46
59.76,26.7179,45.54738,44.0,8.0,87.82
73.09,29.877,52.826935,46.0,9.0,20.08
82.78,34.056,55.030354,48.0,9.0,3.24
64.5,27.3674,51.91586,50.0,9.0,61.55
64.42,26.788,47.507122,42.0,8.0,44.1
66.4,29.4081,47.3312,42.0,8.0,59.1
83.91,35.1968,55.47131,52.0,9.0,23.47
76.35,31.3645,52.70173,48.0,9.0,43.1
74.72,31.9113,53.690628,52.0,9.0,62.4
68.7,30.9214,51.264103,46.0,9.0,57.78
71.75,32.2112,52.12229,50.0,9.0,73.83
84.43,36.923,56.400784,50.0,9.0,9.23
64.57,27.909,51.988888,48.0,9.0,43.37
70.17,29.369,48.665413,42.0,8.0,3.01
75.5,32.2978,53.3554,50.0,9.0,41.82
89.2,38.405,56.711956,52.0,9.0,9.23
80.82,33.7698,55.070587,50.0,9.0,20.23
74.49,32.47,53.507763,46.0,9.0,26.3
83.24,35.1708,55.47131,52.0,9.0,23.24
79.18,34.9187,54.339745,50.0,9.0,32.34
70.48,29.1898,52.373264,48.0,9.0,85.06
83.49,36.7227,54.848934,50.0,9.0,25.02
61.66,26.062,51.97438,48.0,9.0,59.32
78.47,33.256,54.78479,50.0,9.0,15.77
61.95,26.298,47.22226,44.0,8.0,32.84
68.11,28.714,48.77939,46.0,8.0,21.76
81.3,33.555,54.148994,48.0,9.0,20.31
69.45,28.1558,51.473125,46.0,9.0,59.15
79.3,34.1828,53.927696,50.0,9.0,38.05
86.44,37.232,55.759933,50.0,9.0,17.07
86.1,36.192,56.036186,50.0,9.0,3.01
73.85,30.897,54.1385,50.0,9.0,18.46
78.38,33.5078,55.109886,50.0,9.0,44.02
76.46,33.1517,53.885216,48.0,9.0,21.26
76.05,31.6855,53.30944,50.0,9.0,41.82
74.86,34.5831,48.71034,44.0,8.0,41.81
79.5,34.9106,54.132336,50.0,9.0,40.46
81.3,35.0954,53.654617,48.0,9.0,39.16
71.7,31.1044,53.40337,46.0,9.0,62.34
69.11,31.1817,52.77514,48.0,9.0,42.31
65.46,28.412,47.881176,44.0,8.0,34.14
73.83,31.418,49.479485,46.0,8.0,20.31
74.81,33.0452,54.08989,48.0,9.0,70.04
73.14,30.775,49.42568,46.0,8.0,15.77
69.0,31.9141,51.64195,48.0,9.0,68.26
81.25,31.7114,52.474037,48.0,9.0,65.42
71.78,30.4385,53.288975,48.0,9.0,65.96
75.78,32.5658,53.114017,46.0,9.0,33.37
79.28,33.0858,54.135418,50.0,9.0,32.76
73.74,31.6298,53.824245,48.0,9.0,29.46
68.26,28.5476,52.302288,50.0,9.0,57.53
70.42,29.8624,51.0881,48.0,9.0,60.96
75.99,32.0446,54.260143,54.0,9.0,49.69
72.44,31.1394,51.741066,48.0,9.0,51.8
78.31,33.23,54.78479,50.0,9.0,15.77
74.5,31.943,53.832767,48.0,9.0,20.08
89.07,38.429,57.40156,54.0,9.0,9.23
77.83,34.6287,54.52438,52.0,9.0,50.15
81.22,35.6505,55.157093,54.0,9.0,53.31
75.03,31.0694,52.807716,48.0,9.0,60.95
84.0,35.1708,55.47131,52.0,9.0,23.24
83.71,36.223,56.39573,52.0,9.0,9.23
85.3,36.223,56.39573,52.0,9.0,12.53
76.27,31.5638,54.064754,48.0,9.0,20.23
74.12,34.3319,52.274662,50.0,9.0,71.42
82.32,36.199,55.706127,50.0,9.0,9.23
56.7,21.3157,48.526913,48.0,9.0,89.32
71.02,30.7468,53.62743,52.0,9.0,46.53
78.79,34.0467,54.628624,50.0,9.0,39.01
71.35,31.026,53.089355,46.0,9.0,12.24
65.87,27.4222,51.59655,50.0,9.0,72.55
54.6,24.3944,41.15021,38.0,7.0,52.05
78.64,34.356,53.127625,48.0,9.0,30.21
78.32,33.1977,54.574818,50.0,9.0,34.47
81.96,35.704,54.75916,46.0,9.0,17.07
84.52,35.6294,55.424484,52.0,9.0,43.09
77.95,31.1601,54.859608,54.0,9.0,67.77
77.44,33.0658,54.82502,52.0,9.0,32.76
83.54,35.2964,55.011135,50.0,9.0,43.88
67.16,28.2417,51.490036,48.0,9.0,55.4
70.27,29.2708,48.705643,44.0,8.0,20.23
67.35,28.6328,52.6216,50.0,9.0,46.53
81.79,34.034,55.030354,48.0,9.0,3.01
77.5,31.5276,53.313175,50.0,9.0,57.53
74.75,32.4331,53.642876,50.0,9.0,78.91
79.13,33.0025,54.255505,50.0,9.0,42.17
67.79,27.9678,52.56779,50.0,9.0,45.29
72.71,31.3157,52.91344,50.0,9.0,53.16
80.48,34.6234,55.050434,50.0,9.0,52.82
67.84,27.68,48.30399,40.0,8.0,23.79
72.07,29.9306,53.25431,52.0,9.0,49.69
87.09,37.4957,56.58648,54.0,9.0,31.17
76.78,33.5706,54.510765,50.0,9.0,40.46
64.21,26.7868,51.939934,46.0,9.0,84.88
76.97,32.4991,53.834633,48.0,9.0,61.84
64.79,26.7898,43.346535,40.0,7.0,20.23
73.86,31.9436,53.9006,52.0,9.0,43.47
62.65,28.5079,46.092087,42.0,8.0,56.23
80.33,34.2026,55.265976,56.0,9.0,49.69
78.65,33.6023,53.306355,50.0,9.0,52.82
78.13,33.6805,54.260563,48.0,9.0,42.17
74.04,31.5548,53.464703,46.0,9.0,23.47
68.59,28.8608,52.6216,50.0,9.0,46.53
89.33,38.2558,57.08225,54.0,9.0,20.23
59.71,24.6538,42.340702,38.0,7.0,20.23
81.73,34.061,55.389896,50.0,9.0,9.23
81.45,35.6567,54.25525,48.0,9.0,29.1
78.85,33.331,55.144333,52.0,9.0,21.76
77.13,33.665,54.459785,48.0,9.0,18.46
75.07,33.3973,53.22684,52.0,9.0,64.85
82.79,33.5918,52.260883,48.0,9.0,78.55
58.11,25.038,42.468254,40.0,7.0,26.3
71.84,27.9549,53.2889,54.0,9.0,88.0
74.29,32.639,50.084595,46.0,8.0,17.07
69.96,29.3508,52.906467,48.0,9.0,61.09
72.68,29.519,52.866234,46.0,9.0,43.87
69.48,30.4145,52.599373,46.0,9.0,56.05
85.7,36.0718,56.076416,52.0,9.0,20.23
79.72,34.4768,54.00169,50.0,9.0,35.83
73.48,30.8016,53.30812,52.0,9.0,57.53
78.93,33.6263,53.99596,52.0,9.0,52.82
63.26,27.129,43.665844,40.0,7.0,12.53
79.53,34.9346,54.821938,52.0,9.0,40.46
83.5,35.2847,55.221107,50.0,9.0,15.27
79.76,33.1098,54.82502,52.0,9.0,29.46
64.27,27.519,47.827366,44.0,8.0,29.6
75.38,32.088,54.19231,50.0,9.0,26.3
77.42,33.0658,54.82502,52.0,9.0,32.76
64.99,28.1221,50.120113,48.0,9.0,98.02
77.33,32.293,54.42842,46.0,9.0,33.02
79.02,34.518,50.59258,44.0,8.0,0.0
63.89,26.455,47.414017,42.0,8.0,15.54
74.47,32.5147,53.518547,50.0,9.0,50.15
69.64,30.6864,51.458035,48.0,9.0,70.67
77.2,33.234,54.78479,50.0,9.0,12.24
80.02,34.5097,54.716137,50.0,9.0,33.08
78.28,33.0398,54.82502,52.0,9.0,29.46
86.25,37.138,55.07033,48.0,9.0,17.07
61.39,28.462,47.594635,42.0,8.0,45.38
70.21,29.9131,52.8681,46.0,9.0,95.54
71.34,30.5458,53.85849,50.0,9.0,53.25
76.79,33.6908,54.470535,48.0,9.0,23.24
72.12,30.2607,52.51272,48.0,9.0,50.15
73.3,31.9593,53.690628,52.0,9.0,62.4
84.46,37.092,55.759933,50.0,9.0,17.07
71.9,30.7418,53.267887,50.0,9.0,40.54
51.14,22.6678,40.41746,38.0,7.0,50.94
75.48,32.2217,52.645515,48.0,9.0,42.09
72.27,31.3382,52.090748,50.0,9.0,76.96
74.62,29.3684,54.063747,52.0,9.0,56.74
53.86,22.464,37.300903,34.0,6.0,12.53
68.75,29.6461,52.352177,50.0,9.0,64.35
77.21,32.7755,54.063747,52.0,9.0,49.33
82.24,35.259,54.905148,50.0,9.0,26.03
68.33,29.5127,48.390495,44.0,8.0,56.87
78.23,34.638,54.053074,48.0,9.0,14.16
64.09,27.9526,43.787487,44.0,7.0,40.46
83.68,36.7978,56.081474,50.0,9.0,20.23
71.55,32.0708,49.00212,48.0,8.0,41.82
73.17,31.516,53.37422,44.0,9.0,26.8
76.95,34.4137,54.86474,46.0,9.0,45.73
74.59,32.541,53.674713,50.0,9.0,30.82
77.9,33.235,55.144333,52.0,9.0,18.46
79.33,33.234,54.78479,50.0,9.0,12.47
72.32,29.654,53.186478,48.0,9.0,26.3
80.38,32.297,54.668934,46.0,9.0,23.79
70.58,30.2325,52.899864,52.0,9.0,62.54
79.78,36.127,55.01652,48.0,9.0,9.23
65.5,29.2701,45.372112,42.0,8.0,71.77
80.63,34.149,54.838596,50.0,9.0,20.31
68.07,29.4757,47.57408,42.0,8.0,39.01
81.92,35.1748,55.47131,52.0,9.0,23.24
77.97,34.472,54.434105,50.0,9.0,22.37
78.79,33.52,53.753326,44.0,9.0,17.07
82.06,36.2724,55.6606,48.0,9.0,49.81
82.34,35.1488,55.47131,52.0,9.0,23.24
70.35,29.9306,53.25431,52.0,9.0,49.69
84.4,35.882,56.075485,50.0,9.0,26.8
77.03,31.807,54.384068,48.0,9.0,9.23
75.78,32.9657,54.023518,50.0,9.0,32.11
67.97,27.839,51.988888,48.0,9.0,46.67
81.04,36.019,54.379864,48.0,9.0,32.67
76.09,32.1417,53.159004,48.0,9.0,44.16
78.61,35.447,54.251396,50.0,9.0,29.27
78.04,33.875,54.148994,48.0,9.0,20.31
71.03,29.878,52.77611,50.0,9.0,48.15
83.04,36.0948,55.88466,54.0,9.0,37.3
92.52,39.229,57.647125,52.0,9.0,0.0
82.83,35.2238,55.830853,54.0,9.0,29.46
64.94,26.6457,51.49238,46.0,9.0,66.1
90.11,39.37,57.455368,54.0,9.0,17.07
82.28,35.213,55.25195,52.0,9.0,34.14
71.8,31.38,48.319782,40.0,8.0,13.14
83.25,35.9007,54.28766,46.0,9.0,28.68
68.65,30.659,44.207886,42.0,7.0,21.59
84.65,35.7766,55.516598,52.0,9.0,40.46
77.58,35.481,54.92611,50.0,9.0,21.59
76.91,34.0048,54.189224,50.0,9.0,37.3
80.32,36.2272,53.714542,50.0,9.0,51.18
77.1,33.0658,54.82502,52.0,9.0,32.76
75.25,31.12,53.778957,48.0,9.0,15.54
84.06,36.105,55.84443,52.0,9.0,20.31
60.05,26.8382,45.944447,44.0,8.0,72.28
87.28,37.116,56.449535,52.0,9.0,17.07
43.87,19.035,34.932682,32.0,6.0,38.92
72.03,30.385,49.078762,44.0,8.0,17.07
73.56,30.714,53.818256,48.0,9.0,36.03
88.58,38.359,57.40156,54.0,9.0,9.23
74.73,31.653,52.34917,46.0,9.0,38.92
75.41,34.2835,53.299713,50.0,9.0,45.4
69.35,28.8338,52.26206,48.0,9.0,40.31
72.34,30.747,52.295074,48.0,9.0,22.12
81.91,34.4738,55.07564,48.0,9.0,20.23
80.22,32.9545,54.255505,50.0,9.0,42.17
67.19,27.0337,50.379192,46.0,9.0,84.64
68.81,27.8455,51.401783,46.0,9.0,73.12
69.48,28.866,52.77313,46.0,9.0,12.47
73.52,30.0657,51.740658,44.0,9.0,46.17
79.17,33.2457,54.574818,50.0,9.0,31.17
77.61,33.179,53.368977,48.0,9.0,32.67
77.42,33.261,55.144333,52.0,9.0,18.46
68.82,27.6412,52.112473,46.0,9.0,93.83
81.03,36.0377,55.585705,50.0,9.0,31.17
78.46,32.576,54.02958,44.0,9.0,3.01
74.08,30.8288,53.45965,48.0,9.0,23.24
44.26,20.7951,34.35666,32.0,6.0,67.59
67.69,25.8669,52.28307,52.0,9.0,88.0
70.17,28.779,52.581367,48.0,9.0,29.54
64.28,28.9065,47.70386,44.0,8.0,49.33
84.06,37.2877,55.31998,50.0,9.0,28.68
78.76,34.677,54.680542,52.0,9.0,30.82
80.63,34.9438,55.279552,54.0,9.0,40.54
73.93,32.0136,53.9006,52.0,9.0,43.47
81.18,35.982,54.684727,46.0,9.0,13.14
75.01,31.7757,53.431038,50.0,9.0,46.17
65.67,29.5888,50.432983,48.0,9.0,96.69
85.99,36.0938,56.076416,52.0,9.0,20.23
81.79,34.95,54.49448,48.0,9.0,22.12
72.22,28.9864,51.974724,48.0,9.0,69.39
82.11,34.612,51.282185,46.0,8.0,0.0
75.84,32.5235,53.374146,50.0,9.0,49.33
74.96,29.431,53.417534,46.0,9.0,33.02
69.27,29.357,48.8332,46.0,8.0,26.3
90.87,36.538,56.080544,48.0,9.0,27.03
75.54,31.195,54.1385,50.0,9.0,18.46
70.12,28.7687,52.3714,48.0,9.0,38.33
79.79,33.186,54.78479,50.0,9.0,15.77
65.09,29.6724,47.04411,44.0,8.0,48.39
86.68,37.045,56.641296,50.0,9.0,0.0
78.26,33.1578,54.82502,52.0,9.0,29.46
60.58,24.955,46.860836,42.0,8.0,53.39
75.33,31.8448,53.872997,50.0,9.0,37.3
63.56,25.204,51.214115,44.0,9.0,50.09
74.29,31.698,50.03079,46.0,8.0,9.23
67.2,29.007,52.581367,48.0,9.0,29.31
81.63,34.109,55.389896,50.0,9.0,9.23
76.92,33.0608,54.465477,50.0,9.0,23.24
64.42,27.0967,51.261322,48.0,9.0,59.38
71.52,29.9485,53.00411,50.0,9.0,51.4
76.32,31.4817,53.85385,46.0,9.0,45.73
89.92,39.181,56.26792,48.0,9.0,0.0
85.17,36.098,55.346584,48.0,9.0,3.01
76.34,34.0222,52.902645,50.0,9.0,64.07
60.98,25.58,49.444145,46.0,9.0,69.11
62.63,28.9094,45.99689,42.0,8.0,61.91
75.53,32.0692,53.440426,50.0,9.0,44.29
72.82,31.6078,53.824245,48.0,9.0,32.76
78.55,33.321,53.71413,48.0,9.0,35.01
63.34,26.898,51.93508,48.0,9.0,38.83
71.12,28.1129,51.378326,48.0,9.0,74.92
78.8,33.331,55.144333,52.0,9.0,21.76
74.91,33.3152,53.33618,52.0,9.0,67.84
66.54,29.2188,48.465134,44.0,8.0,29.46
71.68,29.514,49.024956,44.0,8.0,9.23
87.73,36.975,56.641296,50.0,9.0,0.0
77.53,35.314,50.597637,42.0,8.0,0.0
74.5,31.9898,54.579456,54.0,9.0,38.69
73.15,32.567,53.674713,50.0,9.0,34.12
81.39,33.7418,54.140472,48.0,9.0,29.46
73.29,32.2097,53.020702,46.0,9.0,33.08
82.85,35.187,55.59886,54.0,9.0,29.54
70.88,32.7721,50.627453,46.0,9.0,67.84
70.9,30.9994,49.2906,44.0,8.0,49.81
73.25,31.1017,53.017685,48.0,9.0,42.25
89.41,37.045,56.641296,50.0,9.0,0.0
85.06,36.315,56.39573,52.0,9.0,9.23
69.8,32.3938,53.3554,50.0,9.0,41.82
50.07,22.114,32.58808,30.0,5.0,3.01
79.06,33.8817,54.13078,46.0,9.0,21.94
74.56,31.873,54.14356,48.0,9.0,21.76
78.71,33.329,54.39418,44.0,9.0,9.23
90.74,36.905,56.641296,50.0,9.0,0.0
56.59,24.438,41.125847,34.0,7.0,26.03
71.56,30.1038,53.573624,52.0,9.0,41.99
96.56,41.343,58.652958,54.0,9.0,0.0
69.58,28.4578,52.852657,48.0,9.0,56.55
74.94,31.3848,49.711475,46.0,8.0,20.23
71.82,31.7034,52.988335,48.0,9.0,76.74
83.7,36.923,56.400784,50.0,9.0,9.23
76.27,33.5261,52.01341,48.0,9.0,77.45
74.74,32.514,53.31517,48.0,9.0,24.6
79.02,33.256,54.78479,50.0,9.0,15.54
97.8,39.955,57.652184,50.0,9.0,0.0
87.97,34.857,55.394955,48.0,9.0,9.23
76.92,32.358,50.276352,44.0,8.0,0.0
79.21,34.015,54.700294,48.0,9.0,9.23
82.78,34.109,55.389896,50.0,9.0,9.23
85.3,36.0938,56.076416,52.0,9.0,20.23
70.06,30.25,53.230835,46.0,9.0,50.09
75.92,32.7506,53.816105,50.0,9.0,40.46
66.03,27.519,47.827366,44.0,8.0,26.3
74.6,32.1587,48.75192,46.0,8.0,43.53
74.8,31.873,54.14356,48.0,9.0,18.46
65.35,29.1937,52.245487,56.0,9.0,12.03
89.44,38.405,56.711956,52.0,9.0,9.23
72.01,30.9918,53.267887,50.0,9.0,40.31
86.02,36.293,56.39573,52.0,9.0,9.23
71.1,30.0986,51.82411,48.0,9.0,66.24
86.74,37.3108,56.47714,54.0,9.0,23.24
63.79,28.3767,47.02512,40.0,8.0,48.18
70.98,31.7521,47.780674,46.0,8.0,67.48
58.09,25.1032,50.39896,50.0,9.0,89.62
76.84,32.2398,54.579456,54.0,9.0,38.69
72.81,33.118,49.566998,46.0,8.0,21.59
64.18,26.7248,51.61577,48.0,9.0,49.83
93.04,37.771,56.64635,48.0,9.0,0.0
72.18,30.5827,52.687626,48.0,9.0,41.63
80.98,34.978,54.7541,48.0,9.0,17.07
77.37,33.256,54.78479,50.0,9.0,12.24
85.91,36.293,56.39573,52.0,9.0,9.23
55.73,23.4254,44.7138,40.0,8.0,88.73
49.61,21.638,37.055336,36.0,6.0,18.46
79.38,34.477,55.434254,48.0,9.0,33.02
57.6,25.2724,49.820057,48.0,9.0,94.3
79.58,33.309,55.144333,52.0,9.0,21.76
75.16,33.6534,52.13602,46.0,9.0,52.05
83.16,36.083,55.84443,52.0,9.0,20.31
71.77,31.1102,52.38416,50.0,9.0,73.18
87.37,37.757,55.931942,52.0,9.0,21.59
71.26,30.6,49.78522,48.0,8.0,18.46
66.92,28.2276,48.140766,46.0,8.0,40.46
67.76,29.3878,47.824284,44.0,8.0,37.3
72.62,30.8818,53.81919,50.0,9.0,29.46
81.23,35.1145,54.571735,50.0,9.0,42.17
72.82,33.2327,52.514633,50.0,9.0,50.68
77.34,33.8537,54.579876,48.0,9.0,34.47
72.48,31.5104,52.895226,48.0,9.0,45.11
43.95,19.895,43.491432,44.0,8.0,17.07
70.91,32.3458,53.3554,50.0,9.0,41.82
85.3,36.245,56.39573,52.0,9.0,9.23
80.22,34.175,54.838596,50.0,9.0,20.08
73.18,30.9918,53.267887,50.0,9.0,40.31
79.21,33.331,55.144333,52.0,9.0,21.76
70.04,27.8277,50.516148,48.0,9.0,53.93
74.44,33.367,53.920277,48.0,9.0,21.59
61.56,25.623,42.66507,36.0,7.0,9.23
86.27,36.1357,55.136612,48.0,9.0,21.94
77.64,33.5867,54.11103,50.0,9.0,36.32
65.92,27.6496,51.88894,48.0,9.0,43.47
69.89,29.584,53.186478,48.0,9.0,26.3
72.35,29.952,53.186478,48.0,9.0,29.6
80.08,34.1167,54.628624,50.0,9.0,39.01
75.13,30.9561,51.803894,48.0,9.0,76.17
83.92,30.4607,54.278778,50.0,9.0,44.57
63.46,26.4816,47.17929,42.0,8.0,64.25
57.04,24.445,45.665447,40.0,8.0,56.49
69.39,27.488,50.374912,44.0,9.0,66.89
70.0,30.288,49.03001,42.0,8.0,12.53
76.92,33.5668,50.027702,46.0,8.0,20.23
69.08,28.4425,51.450333,48.0,9.0,52.33
68.69,29.1968,48.465134,44.0,8.0,29.46
67.96,30.0898,48.518944,44.0,8.0,37.3
87.35,36.216,55.346584,48.0,9.0,3.01
56.3,20.0687,47.691936,48.0,9.0,62.77
62.45,26.2546,46.943176,46.0,8.0,57.53
74.24,33.052,52.583122,46.0,9.0,27.05
67.04,27.1934,51.968468,50.0,9.0,84.48
73.11,31.0281,52.493496,50.0,9.0,76.17
80.38,35.0506,55.51154,54.0,9.0,40.46
84.44,35.621,54.92611,50.0,9.0,21.59
83.95,35.2837,54.721195,48.0,9.0,33.08
71.75,31.023,53.419415,46.0,9.0,6.02
63.76,29.2852,46.56925,44.0,8.0,64.07
84.31,35.392,55.79062,52.0,9.0,12.47
76.42,32.1198,54.10911,46.0,9.0,44.02
85.64,37.461,56.68565,48.0,9.0,23.79
88.81,39.0697,56.8371,50.0,9.0,21.94
75.63,30.564,53.432045,46.0,9.0,17.07
67.22,28.141,51.902245,46.0,9.0,67.39
74.31,31.623,49.671246,44.0,8.0,3.01
98.64,42.139,58.658012,52.0,9.0,0.0
75.16,30.6287,53.248745,46.0,9.0,39.06
74.85,32.0186,54.260143,54.0,9.0,49.69
77.18,31.6098,53.375153,46.0,9.0,20.23
86.09,38.1167,56.64029,54.0,9.0,29.1
70.83,29.7475,51.93154,48.0,9.0,61.8
78.09,33.6617,54.436867,52.0,9.0,46.17
87.27,37.4957,56.58648,54.0,9.0,31.17
63.16,27.8009,50.92279,50.0,9.0,96.4
69.14,28.6978,52.81336,48.0,9.0,29.46
87.19,37.528,56.79645,54.0,9.0,12.24
82.41,35.1865,55.261337,52.0,9.0,42.17
65.26,29.0412,51.655415,48.0,9.0,80.39
70.79,29.8076,52.894768,50.0,9.0,43.7
67.15,28.596,52.38961,50.0,9.0,46.61
78.64,31.925,54.384068,48.0,9.0,9.23
68.54,30.4527,50.73077,48.0,9.0,81.14
70.97,31.0045,52.86616,52.0,9.0,66.4
79.69,33.751,55.4292,50.0,9.0,33.02
75.7,30.8818,53.81919,50.0,9.0,32.76
70.79,29.584,53.186478,48.0,9.0,26.3
80.54,36.9264,54.911945,50.0,9.0,47.61
72.3,30.8236,53.30812,52.0,9.0,57.53
81.39,35.7777,55.17591,48.0,9.0,35.82
84.78,37.4917,54.71487,50.0,9.0,29.85
82.94,36.2527,55.634457,52.0,9.0,39.01
61.16,24.885,51.769337,40.0,9.0,95.16
87.99,39.155,57.406616,52.0,9.0,9.23
79.39,33.1358,54.82502,52.0,9.0,29.46
90.51,39.3,57.455368,54.0,9.0,17.07
84.76,37.162,55.759933,50.0,9.0,17.07
78.07,33.7955,54.068806,50.0,9.0,49.33
83.93,34.932,55.443707,50.0,9.0,17.07
90.4,38.407,57.40156,54.0,9.0,12.53
75.83,33.9782,52.902645,50.0,9.0,64.07
75.56,32.0777,54.32925,52.0,9.0,40.4
67.11,26.808,50.940304,50.0,9.0,60.76
74.48,31.147,54.1385,50.0,9.0,18.46
86.02,37.186,56.449535,52.0,9.0,17.07
76.86,33.323,54.593033,52.0,9.0,29.54
77.31,33.652,54.38005,46.0,9.0,26.8
82.63,35.728,55.44876,48.0,9.0,17.07
75.85,31.9327,53.622795,48.0,9.0,39.01
60.17,25.7085,46.732277,44.0,8.0,73.12
80.59,34.765,55.394955,48.0,9.0,12.53
67.99,30.7471,47.780674,46.0,8.0,70.18
71.58,30.99,53.946743,52.0,9.0,35.53
71.46,30.5794,53.16726,50.0,9.0,55.62
79.56,34.241,55.71406,48.0,9.0,47.58
94.17,39.177,57.406616,52.0,9.0,9.23
78.84,35.6127,53.86459,48.0,9.0,25.17
84.82,35.408,51.28724,44.0,8.0,0.0
76.55,33.1808,54.633263,54.0,9.0,46.53
69.95,29.2719,52.263924,48.0,9.0,82.07
